"Test_Country","Neighbors"
"Denmark","Sweden, Switzerland, New Zealand, Singapore, Luxembourg, Canada, Australia"
"Finland","Switzerland, Sweden, Luxembourg, Germany, Singapore, Qatar, Belgium"
"Netherlands","Canada, Australia, Ireland, New Zealand, Germany, Sweden, Switzerland"
"Austria","Germany, Belgium, United States, Bahrain, Ireland, Canada, Uruguay"
"United Kingdom","Ireland, Canada, Australia, Malta, Germany, United States, Iceland"
"United Arab Emirates","Bahrain, Kuwait, Qatar, Germany, Belgium, Luxembourg, Saudi Arabia"
"Argentina","Poland, Czech Republic, Colombia, Portugal, Brazil, Panama, Kazakhstan"
"Guatemala","Philippines, Paraguay, Nicaragua, Jamaica, Mauritius, Honduras, Colombia"
"Lithuania","Hungary, Bulgaria, Russia, Slovakia, Latvia, Turkey, Italy"
"Slovenia","Panama, Costa Rica, Poland, Portugal, Czech Republic, Spain, Colombia"
"Bolivia","Philippines, Jamaica, Colombia, Paraguay, Honduras, Libya, El Salvador"
"Peru","Romania, El Salvador, Colombia, China, Jordan, Jamaica, Ecuador"
"Estonia","France, Brazil, Uruguay, Kazakhstan, Japan, Ecuador, Mexico"
"Belarus","Turkey, Latvia, Brazil, Jordan, Kazakhstan, Libya, Algeria"
"Venezuela","Hungary, Turkey, Bulgaria, Latvia, Russia, Algeria, Serbia"
"Montenegro","Serbia, Turkey, Algeria, Latvia, Croatia, Hungary, Iraq"
"Dominican Republic","Brazil, Panama, Libya, Colombia, Paraguay, Kazakhstan, Philippines"
"Vietnam","Philippines, Nicaragua, Jamaica, Costa Rica, Ecuador, Paraguay, Panama"
"Greece","Hungary, Algeria, Armenia, Turkey, Croatia, South Korea, Serbia"
"Tunisia","Armenia, Morocco, Croatia, Iraq, Palestinian Territories, Albania, Algeria"
"Iran","Kosovo, Lebanon, Pakistan, Albania, Iraq, Bosnia and Herzegovina, India"
"Sierra Leone","Cameroon, Burkina Faso, Guinea, Ivory Coast, Chad, Nigeria, Liberia"
"Myanmar","Indonesia, Bhutan, Kenya, Thailand, Nepal, Sri Lanka, Tanzania"
"Egypt","Iraq, Armenia, Palestinian Territories, Algeria, Gabon, Croatia, Yemen"
"Mali","Zimbabwe, Burkina Faso, Senegal, Congo (Kinshasa), Nigeria, Cameroon, Zambia"
"Cambodia","Kenya, Nepal, Sri Lanka, Philippines, Zambia, Tanzania, Ghana"
"Niger","Burkina Faso, Ethiopia, Guinea, Liberia, Zimbabwe, Ivory Coast, Zambia"
"Uganda","Tanzania, Zambia, Cameroon, Burkina Faso, Kenya, Zimbabwe, Nepal"
